UTC,latitude,longitude,CTEratio
453600,46.01676178,-9.38937950,0.04463189
457200,46.00239182,-9.42812443,0.04483449
460800,45.98802948,-9.46685314,0.04503370
464400,45.97365952,-9.50557041,0.04523000
468000,45.95928574,-9.54427910,0.04542437
471600,45.94491577,-9.58298016,0.04561377
475200,45.93052673,-9.62167072,0.04580491
478800,45.91614151,-9.66035461,0.04599050
482400,45.90175247,-9.69902992,0.04617350
486000,45.88726425,-9.73762417,0.04637802
489600,45.87243271,-9.77599049,0.04666380
493200,45.85763550,-9.81434917,0.04693941
496800,45.84284210,-9.85269642,0.04720892
500400,45.82804871,-9.89103603,0.04747670
504000,45.81325531,-9.92937088,0.04773945
507600,45.79847717,-9.96769333,0.04799704
511200,45.78369141,-10.00600624,0.04825252
514800,45.76891708,-10.04430962,0.04850278
518400,45.75415039,-10.08259392,0.04874903
522000,45.73936081,-10.12087059,0.04899539
525600,45.72456360,-10.15913677,0.04924021
529200,45.70976257,-10.19739819,0.04948322
532800,45.69498825,-10.23564911,0.04971875
536400,45.68022156,-10.27389050,0.04994548
540000,45.66626740,-10.31262779,0.04997645
543600,45.65229416,-10.35135746,0.05000504
547200,45.63857269,-10.39019203,0.04997325
550800,45.62462997,-10.42889404,0.04999098
554400,45.61067581,-10.46758938,0.05000757
558000,45.59692001,-10.50640202,0.04997227
561600,45.58296967,-10.54508018,0.04998191
565200,45.56900787,-10.58375168,0.04998856
568800,45.55506516,-10.62241077,0.04998904
572400,45.54110718,-10.66105938,0.04998959
576000,45.52713776,-10.69969845,0.04998919
579600,45.51317596,-10.73832703,0.04998310
583200,45.49921417,-10.77694321,0.04997586
586800,45.48505402,-10.81542873,0.05001167
590400,45.47109604,-10.85402966,0.04999577
594000,45.45711517,-10.89262199,0.04998031
597600,45.44294739,-10.93108177,0.05000888
601200,45.42900085,-10.96965599,0.04998039
604800,45.41484451,-11.00809765,0.04999920
608400,45.40088654,-11.04664421,0.04996786
612000,45.38671112,-11.08505821,0.04998546
615600,45.37253189,-11.12346363,0.04999891
619200,45.35836411,-11.16186142,0.05000798
622800,45.34420013,-11.20024967,0.05001142
626400,45.33023071,-11.23875332,0.04996642
630000,45.31606674,-11.27712631,0.04996290
633600,45.30168533,-11.31536293,0.05001054
637200,45.28750992,-11.35371208,0.05000416
640800,45.27332306,-11.39204693,0.04999787
644400,45.25915527,-11.43037415,0.04998393
648000,45.24499512,-11.46869850,0.04996466
651600,45.23062515,-11.50688362,0.04999216
655200,45.21647644,-11.54518700,0.04996579
658800,45.20212173,-11.58335686,0.04998376
662400,45.18775558,-11.62152195,0.05000222
666000,45.17359924,-11.65979385,0.04996524
669600,45.15923309,-11.69792938,0.04997846
673200,45.14487076,-11.73605633,0.04998533
676800,45.13050461,-11.77416992,0.04999084
680400,45.11616898,-11.81227875,0.04998657
684000,45.10173035,-11.85034275,0.05000263
687600,45.08745956,-11.88850307,0.04997456
691200,45.07302475,-11.92654800,0.04998078
694800,45.05858612,-11.96458530,0.04998798
698400,45.04414749,-12.00260735,0.04999121
702000,45.02970886,-12.04061985,0.04999042
705600,45.01527405,-12.07862282,0.04998589
709200,45.00082397,-12.11661816,0.04998130
712800,44.98639297,-12.15460682,0.04996993
716400,44.97177505,-12.19247723,0.05000043
720000,44.95739365,-12.23048210,0.04996998
723600,44.94282913,-12.26833630,0.04998212
727200,44.92827988,-12.30617428,0.04998946
730800,44.91373062,-12.34400082,0.04999443
734400,44.89916992,-12.38181877,0.04999605
738000,44.88462067,-12.41962719,0.04999392
741600,44.87006760,-12.45743084,0.04998875
745200,44.85550308,-12.49522400,0.04998341
748800,44.84093475,-12.53300953,0.04997438
752400,44.82637024,-12.57078552,0.04996199
756000,44.81161499,-12.60842037,0.04999368
759600,44.79705811,-12.64616966,0.04997364
763200,44.78227234,-12.68378067,0.05000557
